date,total_complaints,winter_maintenance,barrier_damage,bollard_damage,bollard_missing,pothole
2025-07-03,2,0,1,1,0,0
2025-07-04,3,0,3,0,0,0
2025-07-05,2,0,1,0,1,0
2025-07-06,2,0,0,0,1,1
2025-07-07,2,0,0,0,1,1
2025-07-08,6,0,3,1,2,0
2025-07-09,4,0,1,2,0,1
2025-07-11,2,0,1,0,1,0
2025-07-13,3,0,1,0,1,1
2025-07-14,6,0,4,1,1,0
2025-07-15,4,0,1,1,2,0
2025-07-16,6,0,2,1,2,1
2025-07-17,3,0,2,1,0,0
2025-07-18,3,0,3,0,0,0
2025-07-19,1,0,1,0,0,0
2025-07-20,2,0,1,1,0,0
2025-07-21,7,0,0,3,3,1
2025-07-22,3,0,1,0,1,1
2025-07-23,4,0,2,0,1,1
2025-07-24,2,0,0,1,1,0
2025-07-26,2,0,0,0,1,1
2025-07-27,1,0,0,0,0,1
2025-07-28,2,0,1,0,1,0
2025-07-29,8,0,5,0,2,1
2025-07-30,2,0,1,1,0,0
2025-07-31,5,0,1,2,2,0
2025-08-01,2,0,0,1,1,0
2025-08-03,1,0,1,0,0,0
2025-08-04,2,0,1,0,0,1
2025-08-05,3,0,2,0,0,1
2025-08-06,1,0,1,0,0,0
2025-08-07,9,0,3,4,2,0
2025-08-08,4,0,2,0,2,0
2025-08-09,1,0,0,0,0,1
2025-08-11,2,0,2,0,0,0
2025-08-12,1,0,0,0,1,0
2025-08-13,1,0,1,0,0,0
2025-08-14,1,0,1,0,0,0
2025-08-15,4,0,2,1,0,1
2025-08-16,5,0,3,1,1,0
2025-08-17,2,0,1,0,1,0
2025-08-18,2,0,0,1,1,0
2025-08-19,3,0,0,0,3,0
2025-08-20,4,0,0,0,2,2
2025-08-21,1,0,1,0,0,0
2025-08-22,5,0,3,1,1,0
2025-08-23,1,0,1,0,0,0
2025-08-24,3,0,2,1,0,0
2025-08-25,8,0,3,2,2,1
2025-08-27,7,0,6,0,1,0
2025-08-28,2,0,1,0,0,1
2025-08-29,5,0,5,0,0,0
2025-08-30,1,0,0,1,0,0
2025-09-01,1,0,1,0,0,0
2025-09-02,1,0,0,1,0,0
2025-09-03,7,0,1,6,0,0
2025-09-04,3,0,2,1,0,0
2025-09-05,2,0,0,0,0,2
2025-09-06,1,0,1,0,0,0
2025-09-07,2,0,1,1,0,0
2025-09-08,2,0,1,0,0,1
2025-09-09,1,0,0,0,0,1
2025-09-10,1,0,1,0,0,0
2025-09-11,2,0,2,0,0,0
2025-09-12,3,0,1,1,0,1
2025-09-13,1,0,1,0,0,0
2025-09-14,1,0,1,0,0,0
2025-09-16,3,0,2,1,0,0
2025-09-17,1,0,1,0,0,0
2025-09-18,1,0,1,0,0,0
2025-09-19,1,0,0,1,0,0
2025-09-20,1,0,0,0,0,1
2025-09-21,1,0,0,0,0,1
2025-09-25,1,0,1,0,0,0
2025-09-27,1,0,0,1,0,0
2025-10-01,1,0,1,0,0,0
2025-10-03,1,0,1,0,0,0
2025-10-04,1,0,0,1,0,0
2025-10-06,2,0,1,0,0,1
2025-10-07,1,0,1,0,0,0
2025-10-08,1,0,0,0,0,1
2025-10-09,1,0,1,0,0,0
2025-10-10,3,0,1,1,0,1
2025-10-12,1,0,1,0,0,0
2025-10-14,2,0,1,0,0,1
2025-10-15,2,0,1,1,0,0
2025-10-16,1,0,0,0,0,1
2025-10-17,1,0,0,1,0,0
2025-10-18,1,0,1,0,0,0
2025-10-20,1,0,1,0,0,0
2025-10-21,2,0,1,0,0,1
2025-10-22,1,0,0,1,0,0
2025-10-23,1,0,0,0,0,1
2025-10-24,1,0,1,0,0,0
2025-10-25,5,0,4,1,0,0
2025-10-26,2,0,1,0,0,1
2025-10-27,1,0,1,0,0,0
2025-10-28,1,0,1,0,0,0
2025-10-29,2,0,1,0,0,1
2025-10-31,1,0,0,1,0,0
2025-11-01,1,0,1,0,0,0
2025-11-02,1,0,1,0,0,0
2025-11-03,1,0,1,0,0,0
2025-11-04,1,0,1,0,0,0
2025-11-05,1,0,0,0,0,1
2025-11-06,3,0,2,1,0,0
2025-11-07,1,0,1,0,0,0
2025-11-08,4,0,4,0,0,0
2025-11-10,1,1,0,0,0,0
2025-11-11,1,0,0,0,0,1
2025-11-13,5,2,2,1,0,0
2025-11-14,1,0,1,0,0,0
2025-11-17,1,0,0,1,0,0
2025-11-18,3,0,0,2,0,1
2025-11-19,1,0,0,1,0,0
2025-11-20,1,1,0,0,0,0
2025-11-22,1,0,0,0,0,1
2025-11-23,1,0,0,0,0,1
2025-11-25,1,0,1,0,0,0
2025-11-27,2,1,0,0,0,1
2025-11-29,2,0,2,0,0,0
2025-11-30,2,0,1,1,0,0
2025-12-01,4,1,1,2,0,0
2025-12-02,5,3,1,1,0,0
2025-12-03,2,0,1,0,0,1
2025-12-04,3,1,2,0,0,0
2025-12-05,2,0,1,1,0,0
2025-12-07,1,0,1,0,0,0
2025-12-08,1,0,0,0,0,1
2025-12-10,8,7,1,0,0,0
2025-12-11,12,12,0,0,0,0
2025-12-12,14,12,2,0,0,0
2025-12-13,4,2,1,1,0,0
2025-12-14,3,3,0,0,0,0
2025-12-15,5,4,1,0,0,0
2025-12-16,3,2,1,0,0,0
2025-12-17,3,2,1,0,0,0
2025-12-18,2,2,0,0,0,0
2025-12-19,1,0,1,0,0,0
2025-12-22,2,0,1,0,0,1
2025-12-23,3,3,0,0,0,0
2025-12-24,3,1,2,0,0,0
2025-12-27,7,6,0,1,0,0
2025-12-28,11,11,0,0,0,0
2025-12-29,7,7,0,0,0,0
2025-12-30,7,6,1,0,0,0
2025-12-31,9,8,1,0,0,0
